gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj),np_score
Ctsz,-0.4111978693155758,0.0971118140506399,0.6331228172704032,1.0127279331723336,0.19851203454982547,0.0103475234085664
Ube2a,-0.0383463942882702,0.8717787284264891,0.9880203775175228,0.059593732060365515,0.005234098173351425,0.0103244330011673
Slc25a5,0.4488224522966951,0.0176920680500818,0.2947403677752901,1.752221398845833,0.5305603789059652,0.0118470914443792
Pls3,0.0992010700138858,0.6379923997591328,0.955226802383994,0.1951844948875056,0.01989350032257281,0.0112025644094944
Ndufa1,0.7295148431565274,0.0850054512115647,0.6064134896854141,1.0705532230481596,0.21723114637538238,0.0103067996823241
E2f3,-0.3154044690649911,0.3648455197719336,0.8768379947241667,0.4378909824256306,0.05708063981141987,0.0101818701263577
Cd34,0.1780404569372453,0.4209497675854593,0.8964418262159527,0.37576972592689634,0.047477888336205094,0.0111659395828319
Cd274,0.2285536143318713,0.4010044368581962,0.8877355783487685,0.39685082216193346,0.05171637427210762,0.010000019365991
Mapkapk2,-0.1595986834494258,0.465123177325798,0.9071783276199512,0.3324320188331329,0.04230733356965641,0.0106101427375583
Il10,-1.2236958550719756,0.1524497136209837,0.7277929825104108,0.8168733871263691,0.13799213626242196,0.0111128598627201
Lamp2,0.0031059465022232,0.986382382009547,0.999278483976634,0.005954693371334494,0.000313463525634497,0.0103794091916474
Eif3d,0.3500220501360215,0.1475965640084512,0.7224725087874527,0.8309237526047026,0.14117867384347188,0.0105514283251852
H3f3b,0.4388721498084738,0.0134396996240294,0.2613198505951094,1.8716104376128713,0.5828275987821565,0.0147778218829761
Nup50,0.0693192072786759,0.7306736516124623,0.9688701290351568,0.13627655320717244,0.01373443349970472,0.0109032668820675
Ift27,-0.0338734665272977,0.956938906900444,0.9961155499866152,0.01911578765988054,0.0016902802401106024,0.010396
Bik,1.8876598180577628,0.0861799895765129,0.6085686558777076,1.0645935627756529,0.21569041959188606,0.0108536706812067
Mrps18c,1.3298843424258553,0.1614862682465001,0.7383283288217661,0.7918644013720042,0.1317504678704488,0.0103467122013457
Plcg1,-0.1567409495202532,0.4557330644935512,0.9042056083723852,0.34128946119993475,0.04373280356402758,0.0127243658185797
Sdc4,-0.9425790293270032,0.0003386867617694,0.0235925488130482,3.4702017782678567,1.6272251377220186,0.0101556165454976
Il13ra1,0.2356132138514672,0.2443598524518814,0.8145306088571039,0.6119701457734258,0.08909259090370511,0.0100159855852348
Brca1,-2.817770935604572,6.591776621686427e-06,0.0010804600372337,5.1809975181817975,2.9663912916496393,0.01291071723951
Nt5c3b,0.4284498463829678,0.2077886502670333,0.7814682978928753,0.6823781779579283,0.10708863546878906,0.0110140220389165
Med24,0.123600672781738,0.6407479750453489,0.9552884576647016,0.19331275764160477,0.01986546961404018,0.0106976186423867
Psmd3,0.3623783044609002,0.1293444049346722,0.6918822042802452,0.8882523528658943,0.15996783962671646,0.0103464379462495
Exosc10,0.1189075387119987,0.6053050874847746,0.9492604421652177,0.21802567590195437,0.02261461678517339,0.0125556070135971
Vps53,0.2672223094492672,0.3218655661704311,0.8569774965259972,0.4923254825317559,0.06703058211752401,0.012879046923624
Taok1,-0.1175397310841749,0.6035219950828425,0.9489825123116924,0.2193068976146187,0.022741790603803966,0.0100919714603141
Acot8,0.4077515841707594,0.3074055247981995,0.8504795746093875,0.512288331475798,0.07033611208192703,0.012475
Vtn,0.4759640984816291,0.0487493345619059,0.4826364441140611,1.3120313081308748,0.3163798874001935,0.0124852569223025
Nlk,-0.1740377329811285,0.4156003852372399,0.8959635707038881,0.3813240585490999,0.04770964811009947,0.0100939408734546
Aldoc,0.3076320093352157,0.6388535102135109,0.955226802383994,0.1945987146106185,0.01989350032257281,0.0105707793166501
Rpl19,0.15094683860283,0.7194127611310706,0.9668458416401362,0.14302186282046433,0.014642766312202876,0.0104861165618132
Cacnb4,-0.3180009089196869,0.6495342356524176,0.9565231957946142,0.1873979531928289,0.019304493819165356,0.0100666468653249
Psmd11,-0.0607513482549833,0.7827607904584883,0.974786149675392,0.10637093686431656,0.011090650150303414,0.0103464379462495
Pipox,0.7714678298504295,0.4702087980402996,0.9083020873889006,0.3277092490847358,0.04176968774881983,0.010819804894379
Timp2,-1.027623143071115,0.0001297093522431,0.0117492720168196,3.8870287094892166,1.929989041381398,0.01
Top2b,0.1080626386415808,0.60712652391212,0.9492604421652177,0.21672079342083206,0.02261461678517339,0.012776341778899
Rarb,0.3935852214162045,0.3483926246750831,0.8699367154882387,0.4579310473980632,0.06051233946632956,0.0133
Cdc6,-0.0058544517387393,0.9912067461401666,0.9998391924665904,0.00383575081936348,6.984344023447095e-05,0.0123442096265037
Suz12,0.0292416847324683,0.8918263234911225,0.989290740087755,0.04971971299311774,0.0046760559661686175,0.0113414705006774
Atad5,-0.08946668211461,0.7485189866617367,0.9712990118280712,0.12579717902454796,0.012647053102808403,0.01016478805205
Tnfaip1,0.1687459167764618,0.3929317700967398,0.8838145282328077,0.4056828553320115,0.05363886373833108,0.0122
Cd40,0.3911231811461316,0.0836220757350253,0.6031391520810034,1.0776790562417313,0.21958247888961668,0.0104265344370767
