gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,Acute-log10(p_value),Acute-log10(padj),np_score
Ddr2,-0.5658925268690915,0.4695778042759151,0.8516561916493398,0.32829243924831447,0.06973569185777592,0.0102462943986518
Hsd17b7,-0.5804594677882687,0.0032987532656343,0.0567378198400577,2.4816501668374475,1.2461273560555604,0.0109605010223154
Aldh9a1,0.2316271268599086,0.1950837900172907,0.6383091906489314,0.7097788156824459,0.1949689023673425,0.0107704621053432
Vamp4,0.2339101535715616,0.193324043579201,0.6361784390880109,0.7137141297044348,0.19642105378221614,0.0114314726196902
Prdx6,-0.0330330232558166,0.8529639058351302,0.9730829391980164,0.06906934612238398,0.01185014174507796,0.0112658544074445
Nsun6,0.5375735376858276,0.0141448382659047,0.1555932209249523,1.849402013963561,0.8080093288053343,0.0103779219713233
Dars2,-0.1684165226620054,0.5416289043382068,0.8832200342674652,0.26629816732950107,0.05393108830925173,0.0211070522894881
Mrc1,-0.8982877829201585,0.1560760031901875,0.5820427710909609,0.8066638649274271,0.2350451002877805,0.0103041674991402
Serpinc1,-0.2048448646307164,0.6619154847207565,0.9225919120711698,0.179197458993203,0.03499035696627083,0.01
Stam,-0.095434345941599,0.6437829602477281,0.9155681204666024,0.1912605224753814,0.03830933760788851,0.0116471463653359
Trdmt1,0.0639871858917157,0.8222865043774823,0.9671531508152544,0.08497683745880819,0.014504748990957122,0.012475
Vim,-0.7321088527202767,6.362049043417252e-07,6.580237436785455e-05,6.196402987350097,4.181758435318371,0.0102886515794451
Pip4k2a,-0.1036438434289042,0.6004117221820237,0.9036408636482872,0.22155083736602182,0.04400413802647629,0.0109538200660895
Psmb7,0.0787954790856253,0.7077683341599126,0.9351790781336852,0.15010887177373974,0.02910521779224912,0.0103466422666822
Ppp6c,-0.1867226365019382,0.2667785379692614,0.7161820157468571,0.5738491118485761,0.14497658888117487,0.0106697856171566
Arpc5l,-0.0976844139157833,0.6125968696588493,0.9079371377488484,0.21282522674812338,0.041944219401684385,0.0102828571428571
Orc4,0.0466680771416304,0.856037230847587,0.9736799590074664,0.06750734653774933,0.011583768868135983,0.0133395403939642
Kif5c,-0.8512807982078119,0.2296116929548252,0.6799220590237359,0.6390059993034524,0.16754086858191633,0.0107749704452094
Itga8,-0.1197287051003131,0.9050491600237378,0.9813057990397204,0.043327830355911,0.008195634678733745,0.0110676638396419
Il2ra,0.0572844624971793,0.9604053050789562,0.9946717541075362,0.017545449656083387,0.002320214630311776,0.0102307096620238
Pfkfb3,-0.3886481590052437,0.0606238962047182,0.3666698839917238,1.2173561556319734,0.43572475885128653,0.0101597872336723
Yme1l1,0.0404819940967883,0.8358115826924627,0.9691768043451694,0.07789161468968055,0.013596988535197285,0.0112998150371291
Prkcq,1.396294282881005,0.1121901820022419,0.5022644821638937,0.950045147436504,0.2990675320646531,0.0104521998241806
Pkn3,-0.3439141195946092,0.1737553372329788,0.6084698683544061,0.7600618463336408,0.2157609233195672,0.01045
Apbb1ip,-0.4587716720162718,0.5806559696584817,0.8970347052937924,0.23608110466986498,0.047190754251317794,0.0101831034467737
Odf2,0.182155256126596,0.3660863173404189,0.7933843673932213,0.43641650278905275,0.1005163609853206,0.0102227433406385
Stxbp1,-0.0152747789225125,0.9364747782639434,0.9877293760374688,0.028503914827235608,0.00536202969676385,0.0102073780335012
Med27,0.2758786537946601,0.2249860046159417,0.6759354668148162,0.6478444965869092,0.17009476521821112,0.0106976186423867
Ttf1,0.1451247934278759,0.4627382127949201,0.8488860302553228,0.33466463509979444,0.07115061335288428,0.0101324204303692
Ddx31,-0.5861389282886711,0.0568284267853413,0.3547115776382729,1.245434366617636,0.4501246361055682,0.0102399093649936
Tsc1,0.0701235864691974,0.7650026806384014,0.9506516173889866,0.11633704303667522,0.021978608578388546,0.0115102294715098
Eng,0.6214457024283979,0.0030756524029101,0.0543939361892008,2.512062748203554,1.2644495125509652,0.0120824419053106
Ak1,0.0429302043454735,0.9548061991928684,0.992401152413833,0.02008476994752541,0.0033127400803223163,0.0104675808484998
Ptges2,0.0015750365209976,0.9959091837290728,0.9990786933547546,0.001780262784709991,0.0004003028213235598,0.0111
Ralgds,-0.4047989142806265,0.0528054555745097,0.3414503606572026,1.2773212061876276,0.46667242422145777,0.0107975012839142
Lcn2,-1.4621772592508806,3.838478474854941e-05,0.0018602135778613,4.415840890455839,2.730437189996273,0.0101319162672271
Dnm1,0.2331450912668955,0.7465444395947025,0.9470327124151364,0.12694433489633872,0.023635019332508465,0.0111757898606533
Nr4a2,0.3082342667885369,0.2878600732011305,0.7374021921713135,0.5408185685047592,0.13229557564434533,0.0105888518920639
Gpd2,0.4761313692501672,0.0042378990939124,0.0678006441406355,2.3728493882289885,1.168766180094667,0.0104125
Acvr1,0.1031879630550376,0.5681596275514378,0.8931952870245832,0.2455296297376308,0.049053577164210174,0.0114373772504006
Col5a1,-2.245962430459137,5.948258646796258e-05,0.0025605758102172,4.225610155409976,2.591662361609858,0.0124250608752315
Lamc3,0.3188805246486022,0.6153310574411206,0.909453047494496,0.2108911643286705,0.04121971742558111,0.0105350239772358
Abl1,0.2164909485968528,0.2800354303444312,0.7285196631819125,0.5527870178376534,0.13755872186769647,0.0108451817115646
Hspa5,-0.3757507296261274,0.0675394648614321,0.3901239478933774,1.170442384752544,0.4087973895530555,0.012684938663259
Psmd5,-0.1537107327942092,0.4056345690225378,0.817372988937733,0.3918650406175473,0.08757971816482066,0.0101675206191856
Zeb2,-0.7803200773398555,0.209060104718648,0.658937545493556,0.67972883640109,0.18115574615390523,0.0101851833080572
Gsn,-0.056453012770344,0.891199241188061,0.9799916367075964,0.050025191950393656,0.0087776305801988,0.0109780702449473
Stom,0.6462863503412376,2.429781798065764e-05,0.0012896842344261,4.61443272564074,2.889516609106184,0.0112762914212993
Mrrf,0.1532256681096179,0.5308365976506135,0.8786369925648853,0.27503914306117916,0.05619051592547158,0.0102667310058628
